model,shape_MAE,force_MAPE,stress_MAPE,director_MAE_deg,equilibrium_residual,runtime_relative
B0 effective E(T),0.10546289717794345,0.18138886866369328,0.15917824369429667,0.2,0.011931744892216786,0.436189504306298
B1 W-T fixed director,0.08473783092742924,0.14120296561468043,0.12471900315382826,0.2,0.009116375731188611,0.8118412299071894
B2 single-constant Frank,0.050613056048653286,0.0883164221222828,0.08221726413862243,0.2,0.005025469508877122,2.1276330949450704
B3 three-constant Frank,0.03573225938894491,0.06515177971931303,0.056310366380487774,0.2,0.003071963272078694,4.816590772510484
B4 B3 + residual PIRN,0.020768177355128824,0.039913946655075035,0.03963271319650331,0.2,0.0020122548643831143,5.005763880137568
