task,seed,method,normalized_HV,shape_error,force_MAPE
unseen LCE formulation A,3,MF-HVKG,0.8625428396244328,0.05471875732450117,0.09484319782102588
unseen LCE formulation A,4,MF-HVKG,0.8553211558888945,0.06809541785465868,0.09679199893627116
unseen LCE formulation A,5,MF-HVKG,0.8467646632650981,0.057998631709431994,0.09637666928825463
unseen LCE formulation A,6,MF-HVKG,0.8703662203005996,0.05771774340636092,0.0822027233352149
unseen LCE formulation A,7,MF-HVKG,0.8632468673619716,0.0682261683059284,0.09954813068651788
unseen LCE formulation A,8,MF-HVKG,0.8641109041957958,0.058912962581508056,0.08927962209539518
unseen LCE formulation A,9,MF-HVKG,0.872721627815874,0.07652813611664419,0.08787166933974036
unseen LCE formulation A,10,MF-HVKG,0.8636455441507066,0.045986167850419014,0.0958174665153097
unseen LCE formulation A,11,MF-HVKG,0.8626199299195663,0.06660299025479086,0.0886998605717457
unseen LCE formulation A,12,MF-HVKG,0.8858476508818657,0.05332069872742042,0.08561520288881301
unseen LCE formulation A,13,MF-HVKG,0.8700182428118757,0.07259140994147878,0.09255431837198569
unseen LCE formulation A,14,MF-HVKG,0.8549660618843284,0.07248232198061977,0.09410251193398972
unseen LCE formulation A,15,MF-HVKG,0.8655756411533079,0.058485472003474065,0.11975770632283815
unseen LCE formulation A,16,MF-HVKG,0.8731136117923052,0.06564966900111872,0.09133831309400851
unseen LCE formulation A,17,MF-HVKG,0.8595612437943136,0.061156242818669555,0.09878144101997764
unseen LCE formulation A,18,MF-HVKG,0.8637627315074424,0.06606067933377785,0.09531313467603543
unseen LCE formulation A,19,MF-HVKG,0.876391797442326,0.06639635151349943,0.10060289425542593
unseen LCE formulation A,20,MF-HVKG,0.842308260789987,0.062298940063964074,0.07969688553514179
unseen LCE formulation A,1,qLogNEHVI,0.8538376743615127,0.06836402660360792,0.0879658311609612
unseen LCE formulation A,2,qLogNEHVI,0.8410816995808398,0.05999023616207032,0.10124967619501014
