paired_cases,variant,seed,shape_MAE,force_MAPE
5,physics-informed residual PIRN,1,0.051543829846613896,0.11848079431784458
5,physics-informed residual PIRN,2,0.05091140421163991,0.12260177737671064
5,physics-informed residual PIRN,3,0.05266832399592645,0.11173535155432271
5,physics-informed residual PIRN,4,0.04446667838436619,0.10778851033807224
5,physics-informed residual PIRN,5,0.04532201627172693,0.09647614735495859
5,physics-informed residual PIRN,6,0.04482909809818676,0.11857211217870664
5,physics-informed residual PIRN,7,0.047672156286375285,0.14564754211179679
5,physics-informed residual PIRN,8,0.044614864641863865,0.1160067975483954
5,physics-informed residual PIRN,9,0.04457442107973529,0.11511165241673182
5,physics-informed residual PIRN,10,0.04994610603628913,0.11059931074977282
5,physics-informed residual PIRN,11,0.049092601597582754,0.11849758380366406
5,physics-informed residual PIRN,12,0.04336992385376312,0.12062338337430357
5,physics-informed residual PIRN,13,0.0468059224227814,0.09875785824258768
5,physics-informed residual PIRN,14,0.04886407811523487,0.10204461360781793
5,physics-informed residual PIRN,15,0.04855005841381845,0.12352993945957057
5,physics-informed residual PIRN,16,0.04817622432849763,0.11910809645925813
5,physics-informed residual PIRN,17,0.04418678708670967,0.11841521923776581
5,physics-informed residual PIRN,18,0.04899056980009149,0.11383374699069963
5,physics-informed residual PIRN,19,0.05220385635441193,0.11090173003314305
5,physics-informed residual PIRN,20,0.04690259274246126,0.11427956090163527
5,physics-informed residual PIRN,21,0.04515614720568029,0.10861847631933594
5,physics-informed residual PIRN,22,0.045273741885347885,0.09427092954979625
5,physics-informed residual PIRN,23,0.04595270050753552,0.12106110516668987
5,physics-informed residual PIRN,24,0.04856539155502502,0.11986225409524177
5,physics-informed residual PIRN,25,0.04660847494707018,0.11102736520819326
5,physics-informed residual PIRN,26,0.044920729571833774,0.12389980994220086
5,physics-informed residual PIRN,27,0.051270155445757484,0.11227687098463442
5,physics-informed residual PIRN,28,0.04569057772606602,0.09873008707073552
5,physics-informed residual PIRN,29,0.05002710043391296,0.1032019619664465
5,physics-informed residual PIRN,30,0.05099629764948993,0.12473662628943172
5,data-only residual network,1,0.06935411238199052,0.15719871490852325
5,data-only residual network,2,0.06726636703620158,0.1553494045742747
5,data-only residual network,3,0.06270108158846416,0.16354173627410917
5,data-only residual network,4,0.06551986659430507,0.1556174715366846
5,data-only residual network,5,0.0667402738966294,0.1668934866316316
5,data-only residual network,6,0.07032833044139393,0.16600617802012285
5,data-only residual network,7,0.06878245985842245,0.1670783747574953
5,data-only residual network,8,0.06684889534200275,0.145445436287617
5,data-only residual network,9,0.07165240170916151,0.14933399874612174
5,data-only residual network,10,0.06946137263538466,0.1741475929481811
5,data-only residual network,11,0.06782693883915318,0.1693248126578839
5,data-only residual network,12,0.06482316057130169,0.16845123586430716
5,data-only residual network,13,0.06687026437925819,0.1620069908083311
5,data-only residual network,14,0.06602397403103807,0.15169048783650058
5,data-only residual network,15,0.06549045978954116,0.1649542607530609
5,data-only residual network,16,0.06436481097286076,0.15137496294872257
5,data-only residual network,17,0.06598912698310333,0.14981033943195238
5,data-only residual network,18,0.06945540712726445,0.16758600285694225
5,data-only residual network,19,0.06698460669107287,0.15716587905405424
5,data-only residual network,20,0.06680132099446498,0.17387608662357454
5,data-only residual network,21,0.06344304900597036,0.1555677930324924
5,data-only residual network,22,0.0649211899061551,0.16598210083584186
5,data-only residual network,23,0.06350551088100956,0.15572299766290654
5,data-only residual network,24,0.06973195157196321,0.16189258252366664
5,data-only residual network,25,0.06454434242158319,0.16503205137660754
5,data-only residual network,26,0.06633109346250556,0.16122112265357516
5,data-only residual network,27,0.06387238994440066,0.1599837489789919
5,data-only residual network,28,0.06976515309761057,0.15920292026589986
5,data-only residual network,29,0.06589009729216319,0.16443003476764953
5,data-only residual network,30,0.06593391148759274,0.15268173761330134
10,physics-informed residual PIRN,1,0.03436388464864804,0.08227146224640315
10,physics-informed residual PIRN,2,0.03977958606650012,0.09202700422956163
10,physics-informed residual PIRN,3,0.0380191202888323,0.08333037238802209
10,physics-informed residual PIRN,4,0.042932076073451945,0.07446032031743256
10,physics-informed residual PIRN,5,0.0376616442750623,0.08168450663883521
10,physics-informed residual PIRN,6,0.037084060112703064,0.08199240592657854
10,physics-informed residual PIRN,7,0.040968713767136275,0.08829265291548039
10,physics-informed residual PIRN,8,0.036285511462068154,0.0899822347635095
10,physics-informed residual PIRN,9,0.042029633797130136,0.09518504692206373
10,physics-informed residual PIRN,10,0.037933422170895514,0.07220198663700433
10,physics-informed residual PIRN,11,0.0320934559277479,0.08469722257164085
10,physics-informed residual PIRN,12,0.0408053982526344,0.09740174323210253
10,physics-informed residual PIRN,13,0.03507961356294656,0.09164090889530933
10,physics-informed residual PIRN,14,0.03905048637237591,0.0846897895014462
10,physics-informed residual PIRN,15,0.03712550309570031,0.09145986679398743
10,physics-informed residual PIRN,16,0.03712789465268645,0.07988410525738025
10,physics-informed residual PIRN,17,0.037345703099563254,0.11004915674255195
10,physics-informed residual PIRN,18,0.04103989550475707,0.09887965379406845
10,physics-informed residual PIRN,19,0.03856631306095,0.08466706509824048
10,physics-informed residual PIRN,20,0.04091531708798044,0.08357947653984218
10,physics-informed residual PIRN,21,0.03472958027936675,0.09115327637743188
10,physics-informed residual PIRN,22,0.03448309026211086,0.07563260272219478
