comparison,HV_gain_pct,HF_call_reduction_pct,A12_HV,wilcoxon_p_raw,holm_p
Frank-WT MF-PIRN vs MF-HVKG,3.3353030180330867,29.28454367158325,0.9964583333333333,2.0076282171922544e-41,1.8068653954730288e-40
Frank-WT MF-PIRN vs qLogNEHVI,3.806613804896841,32.657029550978635,0.9992708333333333,2.0076282171922544e-41,1.8068653954730288e-40
Frank-WT MF-PIRN vs MOMF,4.337785920166581,27.137083379470717,0.9998958333333333,2.0076282171922544e-41,1.8068653954730288e-40
Frank-WT MF-PIRN vs PHSEA,4.997981120885164,36.06131273380946,0.9999826388888889,2.0076282171922544e-41,1.8068653954730288e-40
Frank-WT MF-PIRN vs MSAEA-DM,5.676452390411835,39.12389851284779,1.0,2.0076282171922544e-41,1.8068653954730288e-40
Frank-WT MF-PIRN vs AS-SMEA,5.083359797401243,38.020109732262696,0.9999826388888889,2.0076282171922544e-41,1.8068653954730288e-40
Frank-WT MF-PIRN vs B2 direct screening,6.1581702441767305,42.01912062736805,1.0,2.0076282171922544e-41,1.8068653954730288e-40
Frank-WT MF-PIRN vs Original MF-BCL-SAEA,7.103582875327419,41.02133189925606,1.0,2.0076282171922544e-41,1.8068653954730288e-40
Frank-WT MF-PIRN vs ParEGO-GP,9.160397539922439,44.290642792134946,1.0,2.0076282171922544e-41,1.8068653954730288e-40
