seed,Frank3,fingerprint,PIRN,physics_gate,normalized_HV
6,1,0,0,1,0.8852011478207253
7,1,0,0,1,0.8762233479214433
8,1,0,0,1,0.8755494620295279
9,1,0,0,1,0.8872583777329734
10,1,0,0,1,0.8818151064630275
11,1,0,0,1,0.8726955013636398
12,1,0,0,1,0.878267458816985
13,1,0,0,1,0.8855672223813535
14,1,0,0,1,0.8817332753461461
15,1,0,0,1,0.8740339254597416
16,1,0,0,1,0.8724355397538774
17,1,0,0,1,0.8739965709149379
18,1,0,0,1,0.8796909573012331
19,1,0,0,1,0.8900946257287761
20,1,0,0,1,0.8913236903819604
1,0,1,0,1,0.8695555670322254
2,0,1,0,1,0.8696854559156616
3,0,1,0,1,0.8766649077242794
4,0,1,0,1,0.8724524219738057
5,0,1,0,1,0.8772474364884429
6,0,1,0,1,0.8774083974586548
7,0,1,0,1,0.8757899652503188
8,0,1,0,1,0.8758866119117762
9,0,1,0,1,0.873953653360333
10,0,1,0,1,0.884639005492856
11,0,1,0,1,0.8791604784193403
12,0,1,0,1,0.872993622186768
13,0,1,0,1,0.8797422213948313
14,0,1,0,1,0.869664111167771
15,0,1,0,1,0.8757736771674369
16,0,1,0,1,0.8749339548713345
17,0,1,0,1,0.8747460858374763
18,0,1,0,1,0.8826450112445366
19,0,1,0,1,0.8772409772695653
20,0,1,0,1,0.8807585398756346
1,1,1,0,1,0.9110851937624532
2,1,1,0,1,0.9124869404045418
3,1,1,0,1,0.918504500103472
4,1,1,0,1,0.9079431733855289
5,1,1,0,1,0.90706582323706
6,1,1,0,1,0.9054734995699132
7,1,1,0,1,0.9078148264115737
8,1,1,0,1,0.8958915706547336
9,1,1,0,1,0.9127382940432195
10,1,1,0,1,0.9069288809189003
11,1,1,0,1,0.9072319160076947
12,1,1,0,1,0.9159083792403964
13,1,1,0,1,0.9139365142118593
14,1,1,0,1,0.9131295517283093
15,1,1,0,1,0.9097503955106644
16,1,1,0,1,0.9174176577869094
17,1,1,0,1,0.9149685063752792
18,1,1,0,1,0.9075079790601476
19,1,1,0,1,0.9142658008309092
20,1,1,0,1,0.9081160502796884
1,0,0,1,1,0.8912664571686181
2,0,0,1,1,0.8764026858927766
3,0,0,1,1,0.8854090341366502
4,0,0,1,1,0.8748287732381889
5,0,0,1,1,0.8768435784218556
6,0,0,1,1,0.8807027663756236
7,0,0,1,1,0.8814686816337318
8,0,0,1,1,0.871721466285909
9,0,0,1,1,0.8824827212560511
10,0,0,1,1,0.8801660203327918
11,0,0,1,1,0.8801814292061928
12,0,0,1,1,0.8747919088458574
13,0,0,1,1,0.8757387303402643
14,0,0,1,1,0.8731915405733629
15,0,0,1,1,0.874987153126256
16,0,0,1,1,0.8729752627902512
17,0,0,1,1,0.8882942869008315
18,0,0,1,1,0.8812552850221679
19,0,0,1,1,0.8830881637537425
20,0,0,1,1,0.8801920824945239
1,1,0,1,1,0.8999062333807891
2,1,0,1,1,0.9131706198887395
3,1,0,1,1,0.9056879780238134
4,1,0,1,1,0.9077236671105497
5,1,0,1,1,0.9007943890945393
6,1,0,1,1,0.9114721503429555
7,1,0,1,1,0.9048664438146777
8,1,0,1,1,0.9016615135108081
