method,seed,HF_calls,normalized_HV,IGD_plus
Frank-WT MF-PIRN,6,140,0.9239304221255151,0.0042097821298818965
Frank-WT MF-PIRN,6,150,0.924015315951877,0.004127558573296795
Frank-WT MF-PIRN,6,160,0.9232716565578729,0.004564988283026703
Frank-WT MF-PIRN,6,170,0.9296635772404007,0.004852123128094675
Frank-WT MF-PIRN,6,180,0.9259014244028846,0.004690914801475495
Frank-WT MF-PIRN,6,190,0.9280876027767447,0.00402426712320862
Frank-WT MF-PIRN,6,200,0.9303346394245452,0.0050474938412937865
Frank-WT MF-PIRN,7,20,0.7150461652135455,0.04682353280358669
Frank-WT MF-PIRN,7,30,0.7703029466913938,0.03400578881468537
Frank-WT MF-PIRN,7,40,0.8087153274746912,0.025080367409247916
Frank-WT MF-PIRN,7,50,0.8397116564773182,0.019417371349170046
Frank-WT MF-PIRN,7,60,0.8662423794715106,0.014549773655040378
Frank-WT MF-PIRN,7,70,0.8795834197713736,0.0114491704608781
Frank-WT MF-PIRN,7,80,0.8947577473236111,0.009365071005139797
Frank-WT MF-PIRN,7,90,0.9006110253504576,0.007783776604905726
Frank-WT MF-PIRN,7,100,0.9102431959005257,0.006579368265715112
Frank-WT MF-PIRN,7,110,0.91500837965381,0.005672302154097676
Frank-WT MF-PIRN,7,120,0.9190910653596072,0.005851605371266227
Frank-WT MF-PIRN,7,130,0.9226686993179652,0.004508670958713679
Frank-WT MF-PIRN,7,140,0.9263095957321867,0.005014390422923048
Frank-WT MF-PIRN,7,150,0.928254104642646,0.004545179946494917
Frank-WT MF-PIRN,7,160,0.9273295136080749,0.005405428917579676
Frank-WT MF-PIRN,7,170,0.9326039132889337,0.005526538073524303
Frank-WT MF-PIRN,7,180,0.9336725237553297,0.004330612678141313
Frank-WT MF-PIRN,7,190,0.9322632006239229,0.0036241057974577295
Frank-WT MF-PIRN,7,200,0.9330337660912793,0.003712215834303078
Frank-WT MF-PIRN,8,20,0.7164887233542437,0.04634106016797583
Frank-WT MF-PIRN,8,30,0.7683228073478007,0.033957352124783964
Frank-WT MF-PIRN,8,40,0.810966564554599,0.02539307813761244
Frank-WT MF-PIRN,8,50,0.8413028114823875,0.01913005297182923
Frank-WT MF-PIRN,8,60,0.8648143033019473,0.015112997538061494
Frank-WT MF-PIRN,8,70,0.8832793517942418,0.011381793851043617
Frank-WT MF-PIRN,8,80,0.8970322473482597,0.010067387556715171
Frank-WT MF-PIRN,8,90,0.9075746754815474,0.007534978043630637
Frank-WT MF-PIRN,8,100,0.9141315016597803,0.006404175333630799
Frank-WT MF-PIRN,8,110,0.9170936015414954,0.005480649456577613
Frank-WT MF-PIRN,8,120,0.9232697757225847,0.006018789778591708
Frank-WT MF-PIRN,8,130,0.9258105923536448,0.005813231355799857
Frank-WT MF-PIRN,8,140,0.9344741969120511,0.004215081148479788
Frank-WT MF-PIRN,8,150,0.9332977123282068,0.004157422088542873
Frank-WT MF-PIRN,8,160,0.9345884937910564,0.004739273703886108
Frank-WT MF-PIRN,8,170,0.936590424590098,0.003941948914903492
Frank-WT MF-PIRN,8,180,0.9343678782142125,0.005058791802858352
Frank-WT MF-PIRN,8,190,0.9367775308261079,0.003754885329776778
Frank-WT MF-PIRN,8,200,0.9337976286199553,0.004141052794727233
Frank-WT MF-PIRN,9,20,0.7110337456212318,0.047240356199451876
Frank-WT MF-PIRN,9,30,0.7641999560840064,0.03377534382365002
Frank-WT MF-PIRN,9,40,0.8071020987261872,0.024891277281571235
Frank-WT MF-PIRN,9,50,0.8331579172057983,0.018942520713395205
Frank-WT MF-PIRN,9,60,0.8575235920342018,0.01533633623683553
Frank-WT MF-PIRN,9,70,0.8751930288563103,0.011252013948768392
Frank-WT MF-PIRN,9,80,0.8854274054606416,0.00976697799660229
Frank-WT MF-PIRN,9,90,0.9021693311740697,0.008382121584415503
Frank-WT MF-PIRN,9,100,0.9055019416554843,0.006819759183045896
Frank-WT MF-PIRN,9,110,0.9151168405008725,0.006483745528734263
Frank-WT MF-PIRN,9,120,0.9174278416207785,0.006263548368280103
Frank-WT MF-PIRN,9,130,0.919649942782307,0.004849626573276194
Frank-WT MF-PIRN,9,140,0.9265973006342074,0.004342279822244407
Frank-WT MF-PIRN,9,150,0.9223394644240691,0.004468664828314066
Frank-WT MF-PIRN,9,160,0.9215819149046334,0.004041281964485607
Frank-WT MF-PIRN,9,170,0.927671356316339,0.003902150775872244
Frank-WT MF-PIRN,9,180,0.928390065732915,0.0048992891143941515
Frank-WT MF-PIRN,9,190,0.9254707782110053,0.004060096170618128
Frank-WT MF-PIRN,9,200,0.929109213418914,0.004217259459044761
Frank-WT MF-PIRN,10,20,0.7147779005955133,0.046751885108452816
Frank-WT MF-PIRN,10,30,0.7714639517575782,0.034576565148228176
Frank-WT MF-PIRN,10,40,0.8074700798125742,0.027220564981762195
Frank-WT MF-PIRN,10,50,0.8404789010475908,0.019629459336363442
Frank-WT MF-PIRN,10,60,0.8659296977398978,0.014841555797297625
Frank-WT MF-PIRN,10,70,0.8872632251291377,0.011412139349085306
Frank-WT MF-PIRN,10,80,0.8958862891010961,0.009481669202127178
Frank-WT MF-PIRN,10,90,0.90837060355067,0.00848907960822376
Frank-WT MF-PIRN,10,100,0.9117868982698667,0.006566869843756935
Frank-WT MF-PIRN,10,110,0.9196188120520213,0.0062164349702012916
Frank-WT MF-PIRN,10,120,0.9270823927267332,0.005221753758031804
Frank-WT MF-PIRN,10,130,0.9293782068685283,0.005300400165122869
Frank-WT MF-PIRN,10,140,0.9305659846861974,0.004546565942798011
Frank-WT MF-PIRN,10,150,0.9343107648577381,0.004350737749212385
Frank-WT MF-PIRN,10,160,0.9375163543817725,0.004851357341726103
Frank-WT MF-PIRN,10,170,0.9332443641561812,0.0038077416556961904
Frank-WT MF-PIRN,10,180,0.9327977327362439,0.004423313800501973
Frank-WT MF-PIRN,10,190,0.9369741522590215,0.0040833942018049935
Frank-WT MF-PIRN,10,200,0.9348712491527476,0.0051490153895489554
Frank-WT MF-PIRN,11,20,0.7107500543271119,0.04645535389105359
Frank-WT MF-PIRN,11,30,0.7675359329542731,0.03448668440802171
Frank-WT MF-PIRN,11,40,0.8085095768153143,0.02585120890486785
Frank-WT MF-PIRN,11,50,0.8417333337610173,0.01882465896549139
Frank-WT MF-PIRN,11,60,0.8635123131010181,0.014578187211358708
Frank-WT MF-PIRN,11,70,0.8824883470339934,0.011635038883632633
Frank-WT MF-PIRN,11,80,0.8927091894443279,0.010150107859613617
Frank-WT MF-PIRN,11,90,0.9059435775196213,0.008104349248482178
Frank-WT MF-PIRN,11,100,0.9085174850993659,0.007212204312685644
Frank-WT MF-PIRN,11,110,0.9161877874556199,0.0054392655168633355
Frank-WT MF-PIRN,11,120,0.9212490938006339,0.006978007693851545
Frank-WT MF-PIRN,11,130,0.9246128707267308,0.005458824145136876
Frank-WT MF-PIRN,11,140,0.9258033145709996,0.004609642029104178
Frank-WT MF-PIRN,11,150,0.9349254183192675,0.0043197253976651065
Frank-WT MF-PIRN,11,160,0.9273430695093412,0.004586429052423922
Frank-WT MF-PIRN,11,170,0.9336701581936446,0.004829923296891623
Frank-WT MF-PIRN,11,180,0.9320079735582796,0.0038689713089106324
Frank-WT MF-PIRN,11,190,0.9327841319288516,0.004117646069218546
Frank-WT MF-PIRN,11,200,0.9362628473421974,0.0041092157284868475
Frank-WT MF-PIRN,12,20,0.7180796952847619,0.047722442828406604
Frank-WT MF-PIRN,12,30,0.7662763573991805,0.03391882193641012
Frank-WT MF-PIRN,12,40,0.8098446097271347,0.026415853759480353
Frank-WT MF-PIRN,12,50,0.8414010888933678,0.02039891811240783
Frank-WT MF-PIRN,12,60,0.8655874919471773,0.015251414948027245
Frank-WT MF-PIRN,12,70,0.8815258524840958,0.011282938151932188
Frank-WT MF-PIRN,12,80,0.8902546043361466,0.0095940528415239
Frank-WT MF-PIRN,12,90,0.9021079233801966,0.007896525217365419
Frank-WT MF-PIRN,12,100,0.916514758001383,0.006364095394734385
Frank-WT MF-PIRN,12,110,0.9174264610167381,0.005880662989646248
Frank-WT MF-PIRN,12,120,0.9248344532483793,0.005944685612090806
Frank-WT MF-PIRN,12,130,0.9232201857510902,0.004954162848130642
Frank-WT MF-PIRN,12,140,0.9293737093406789,0.006006761646452039
Frank-WT MF-PIRN,12,150,0.9296543878351784,0.004016944006416377
Frank-WT MF-PIRN,12,160,0.9307062184910381,0.0038661772486929037
Frank-WT MF-PIRN,12,170,0.9310387116633343,0.003970766549148809
Frank-WT MF-PIRN,12,180,0.9339154812688136,0.0038338049076239895
Frank-WT MF-PIRN,12,190,0.9338223901829557,0.003942047250240642
Frank-WT MF-PIRN,12,200,0.9328213304223095,0.0038023933557184866
Frank-WT MF-PIRN,13,20,0.714415626148364,0.046459763397442636
Frank-WT MF-PIRN,13,30,0.7704900002690062,0.03405309502823702
Frank-WT MF-PIRN,13,40,0.811839447087845,0.025729005653329327
Frank-WT MF-PIRN,13,50,0.8430827193969728,0.018781546868364165
Frank-WT MF-PIRN,13,60,0.8644131010308723,0.014534238570174598
Frank-WT MF-PIRN,13,70,0.8830224531880125,0.01142813438772725
Frank-WT MF-PIRN,13,80,0.8965567249629784,0.00899317892140241
Frank-WT MF-PIRN,13,90,0.9117467186863697,0.007699669965362992
Frank-WT MF-PIRN,13,100,0.9124446907492232,0.007285608699162983
Frank-WT MF-PIRN,13,110,0.9173031241541602,0.006847637664867579
Frank-WT MF-PIRN,13,120,0.9215493220607593,0.004991202479439246
Frank-WT MF-PIRN,13,130,0.9244167990627346,0.004553382131397031
Frank-WT MF-PIRN,13,140,0.9239316359946124,0.005330238508104513
Frank-WT MF-PIRN,13,150,0.9323881049621195,0.004678939044228748
Frank-WT MF-PIRN,13,160,0.9308670223615199,0.004477008777596787
Frank-WT MF-PIRN,13,170,0.9333883950027433,0.0056845068533428935
Frank-WT MF-PIRN,13,180,0.9296945283417967,0.004122627734218443
Frank-WT MF-PIRN,13,190,0.9334785219586997,0.004084351670320798
Frank-WT MF-PIRN,13,200,0.9339977133242183,0.005594582486056996
Frank-WT MF-PIRN,14,20,0.7131539146374071,0.04666249069084783
Frank-WT MF-PIRN,14,30,0.7722595573081469,0.03453473188955943
Frank-WT MF-PIRN,14,40,0.8114479560454363,0.02571285984397015
Frank-WT MF-PIRN,14,50,0.8446619409112717,0.01960312829746404
Frank-WT MF-PIRN,14,60,0.866975822198852,0.015054336810623853
Frank-WT MF-PIRN,14,70,0.8824038303338887,0.01168311270272206
Frank-WT MF-PIRN,14,80,0.8970070232401335,0.00912787219203678
Frank-WT MF-PIRN,14,90,0.9122634312282643,0.008034920010034287
Frank-WT MF-PIRN,14,100,0.9202135927130984,0.006605029656959361
Frank-WT MF-PIRN,14,110,0.9216768185986374,0.005641530556506785
Frank-WT MF-PIRN,14,120,0.9268368241825821,0.0054203043436579085
Frank-WT MF-PIRN,14,130,0.9265205482673434,0.004854826518297407
Frank-WT MF-PIRN,14,140,0.9337256003200296,0.004537062279718568
